,informativeness,understandability,confusion,distraction,readability,infDensity,accessibility,usability
cursorTrail_.serpResults_rel,0.1087602639,-0.1250757971,-0.1940114044,-0.139859654,-0.1567474772,0.1481911727,-0.1265224692,-0.1131120545
cursorTrailX_total_abs,0.0519748336,-0.0630709138,-0.1847882283,-0.2145470534,-0.1923566804,-0.0615021136,-0.2231151257,-0.2094188903
cursorTrailX_.searchForm_abs,-0.1627049342,-0.0716870654,-0.1947311639,0.006916068,0.0504581016,0.0870559041,-0.0277504925,-0.0875779641
cursorTrailX_.searchForm_rel,-0.1893615898,-0.0094994793,-0.1541151024,0.0941393618,0.1505710189,0.0531024795,0.0874339158,-0.0077864423
cursorTrailX_.serpResults_abs,0.1075980119,-0.0239083732,-0.1002056318,-0.1113601428,-0.2067707041,0.0464929352,-0.1528955892,-0.0985288373
cursorTrailX_.serpResults_rel,0.1488047043,-0.0743667205,-0.1565185097,-0.1540704828,-0.2108739227,0.0527569668,-0.0950140683,-0.110433533
cursorTrailY_total_abs,0.0740808295,-0.0149048479,-0.0939880443,-0.1664246023,-0.1119022906,0.0321158238,-0.1265242267,-0.0944073656
cursorTrailY_.searchForm_abs,-0.0407547083,-0.0702421435,-0.1053982681,-0.0351343476,-0.0735142805,0.0928291368,-0.09681618,-0.0811981462
cursorTrailY_.searchForm_rel,-0.0953114443,-0.0418192856,-0.2108757983,-0.0385890956,0.0473086773,0.0166494936,-0.0023794246,-0.0882237953
cursorTrailY_.serpResults_abs,0.0572215297,-0.0521898694,-0.1117534491,-0.071473793,-0.1326924973,0.1898402046,-0.1257209527,-0.0567444978
cursorTrailY_.serpResults_rel,0.0875370809,-0.1123419563,-0.1831961985,-0.1598462892,-0.2027912253,0.2231076845,-0.133280551,-0.1124848216
hovers_total_abs,0.0197901372,-0.0815216678,-0.2173791678,-0.0660759093,-0.1520556208,0.1573502339,-0.1233894187,-0.1120637736
hovers_.searchForm_abs,-0.0713793838,-0.1082991223,-0.1501835863,-0.0988302012,-0.0563696306,0.1429311312,-0.1229645326,-0.1169735411
hovers_.searchForm_rel,-0.2520004676,0.0697887335,0.0681312421,-0.0825245719,0.0465835471,0.0714696322,0.1455283831,0.002217531
hovers_.serpResults_abs,0.0493490584,-0.0601144258,-0.2096162964,-0.0447924199,-0.1639493152,0.1395537456,-0.1055615396,-0.0939878256
hovers_.serpResults_rel,0.4011271368,0.2432545414,-0.0032563504,-0.06159823,-0.1818885794,-0.0585117474,0.1167754845,0.1282916109
hoversPrevHoveredText_total_abs,0.0117879083,-0.0887921851,-0.0954661669,-0.1030671772,-0.1428582589,0.1783183323,-0.1526757551,-0.0929482887
hoversPrevHoveredText_.serpResults_abs,0.0137163826,-0.0847030024,-0.0920622872,-0.1015443517,-0.1386404647,0.1787212681,-0.1504711836,-0.0886345565
hoversPrevHoveredText_.serpResults_rel,0.0866321787,-0.0525971129,-0.1855784103,-0.1547132471,-0.1078523905,-0.031172146,-0.0359946634,-0.1142036796
hoverTime_total_abs,0.0263626484,-0.1258305074,-0.1458339676,-0.1813686278,-0.2453546618,0.037197,-0.1668498102,-0.1889731782
hoverTime_.searchForm_abs,0.0936523444,0.1427353348,0.1486298348,0.0459923098,-0.0573285606,0.1468476532,-0.0788533051,0.1145596909
hoverTime_.searchForm_rel,-0.2693956892,0.1138492715,0.1867906081,-0.0563216378,0.0755120423,0.0857541866,-0.0633035006,0.0076389163
hoverTime_.serpResults_abs,0.013665772,-0.1513872133,-0.172999568,-0.1948674943,-0.2461504686,0.0171334454,-0.1615664188,-0.2127737776
hoverTime_.serpResults_rel,0.0505516755,-0.1057940072,-0.1952328429,-0.0903732873,-0.1897224045,0.1072583386,-0.0787223705,-0.1191062678
inputFocusAmount_total_abs,-0.0925615106,-0.0052722533,-0.1190345021,0.149874103,0.270894725,0.1388466082,-0.1525894712,0.0358158175
inputFocusAmount_.searchForm_abs,-0.3184908271,0.0712504621,0.1343333531,-0.1498404915,0.0706310021,-0.0150016428,-0.1875426807,-0.1062068306
inputFocusAmount_.searchForm_rel,-0.1746808479,-0.0660561564,0.1290100003,-0.2139903747,-0.2606330152,-0.1651400551,-0.0221129245,-0.1855884271
maxHoverTime_total_abs,-0.0128969428,-0.1606530026,-0.2022101069,-0.2057532601,-0.1851628952,-0.0005248344,-0.1831604485,-0.2284713071
maxHoverTime_.searchForm_abs,0.0993139547,0.175926072,0.1703046722,0.0743866857,-0.0754896842,0.1189618791,-0.073809172,0.1274043677
maxHoverTime_.searchForm_rel,-0.2479413209,0.1678822874,0.1601770831,-0.04998835,0.0874859107,0.107167679,-0.0744228298,0.0262120702
maxHoverTime_.serpResults_abs,-0.0185128938,-0.1940959501,-0.2305834605,-0.2105501426,-0.22377405,-0.0191409763,-0.1694004052,-0.2563578235
maxHoverTime_.serpResults_rel,0.0472212985,-0.0866288869,-0.1945707971,-0.0757273653,-0.1869976563,0.1445581125,-0.0759312434,-0.1017781295
